Scan-X;Line 1;Line 2;Line 3;Line 4;Line 5;Line 6;Line 7;Line 8;Line 9
-0.146;;;;;;;75.0;;
-0.125;;;;;;81.8;;;
-0.064;;;;;;74.1;;;
0.015;;;;;;;77.3;;
0.021;62.1;;;;;;;;
0.04;;;;;;54.0;;;
0.11;;67.9;;;;;;;
0.116;;;;53.4;;68.0;;;
0.125;;;60.3;;;;;;
0.134;;;;;;;59.1;;
0.165;;;;;70.9;;;;
0.229;;;;56.4;;;;;
0.235;;66.9;;;;;;;
0.244;;;;;;50.1;;;
0.271;59.9;;;;;;84.6;;
0.314;;;;55.1;;;;;
0.32;;;67.8;;;;;;
0.329;;66.4;;;;;;;
0.357;;;;;;67.0;;;
0.369;;;;;;;59.5;;
0.405;;;54.6;;;;;;
0.408;;;;;72.2;;;;
0.436;82.6;;;;;;;;
0.451;;;;;;;64.9;;
0.494;;68.0;;;;;;;
0.539;56.9;;;;;;;;
0.573;;;72.5;;;;;;
0.597;;61.2;;;;;;;
0.6;;;;;;60.6;;;
0.603;;;;;;;;;55.2
0.637;;;64.4;;;;;;
0.661;;;;;67.3;;;;
0.664;;;;;;;61.4;;
0.68;;;;;;;;49.8;
0.707;78.8;;;;;;;;
0.731;;;;;;81.0;;;
0.75;;;;;;;;;81.1
0.771;;;;;;84.7;;;
0.78;;63.3;73.4;;;;;;
0.789;;;;;;;82.5;;
0.814;;;;75.1;;;;;
0.841;;;;;;;;73.5;
0.853;;;;;;52.9;;;
0.896;;;;;74.0;;;;57.0
0.914;52.1;;;;;;;;
0.929;;;;;;;65.6;;
0.932;;;;;;;;55.9;
0.936;;;;76.4;;;;;
0.972;;59.1;;;;;;;
0.975;;;;;;79.4;;;
1.009;;;;;;75.5;;;
1.012;;;47.5;;;;;;
1.015;;;;;65.3;;;;
1.045;;;;;;70.4;;;
1.115;;;;;;51.4;;;
1.124;57.1;;;;;;;;
1.149;;;;;;;;;60.3
1.185;;;;80.2;;;;;
1.201;;;;;;;;57.2;
1.207;;54.6;;;;;;;
1.21;;;;;;;60.9;;
1.246;;;;;;74.5;;;
1.259;;;48.2;;;;;;
